Date,cases,deaths,tests
2020-08-04,9,18,625
2020-08-05,8,18,739
2020-08-06,11,19,876
2020-08-07,23,20,1988
2020-08-08,23,20,1541
2020-08-09,14,20,1846
2020-08-10,5,20,1175
2020-08-11,30,20,868
2020-08-12,5,20,959
2020-08-13,27,20,1711
2020-08-14,30,20,1549
2020-08-15,25,21,1910
2020-08-16,15,22,1664
2020-08-17,1,22,944
2020-08-18,1,22,902
2020-08-19,4,22,924
2020-08-20,6,22,1364
2020-08-21,6,22,1181
2020-08-22,2,22,1674
2020-08-23,3,22,1199
2020-08-24,4,22,946
2020-08-25,0,23,359
2020-08-26,3,24,1116
2020-08-27,5,24,1196
2020-08-28,2,24,1478
2020-08-29,4,24,1574
2020-08-30,0,24,1203
2020-08-31,4,24,937
2020-09-01,2,24,603
2020-09-02,2,24,1151
2020-09-03,10,24,1255
2020-09-04,4,24,1197
2020-09-05,5,24,1965
2020-09-06,8,24,1990
2020-09-07,10,24,1693
2020-09-08,7,24,983
2020-09-09,1,24,704
2020-09-10,6,24,1028
2020-09-11,13,24,1500
2020-09-12,21,24,1419
2020-09-13,16,24,1525
2020-09-14,8,24,1679
2020-09-15,10,24,1576
2020-09-16,9,24,1138
2020-09-17,7,24,1459
2020-09-18,19,24,1858
2020-09-19,11,24,2682
2020-09-20,19,24,2235
2020-09-21,7,24,1638
2020-09-22,10,24,1539
2020-09-23,6,24,1455
2020-09-24,5,24,1415
2020-09-25,10,24,1575
2020-09-26,19,24,2856
2020-09-27,14,24,2390
2020-09-28,14,24,2051
2020-09-29,7,24,1366
2020-09-30,14,24,1173
2020-10-01,14,24,2086
2020-10-02,13,24,2103
2020-10-03,14,24,2598
2020-10-04,5,24,1234
2020-10-05,9,24,2492
2020-10-06,15,24,1480
2020-10-07,10,24,1592
2020-10-08,18,24,1632
2020-10-09,22,24,2101
2020-10-10,34,24,1667
2020-10-11,24,25,2850
2020-10-12,48,25,2986
2020-10-13,32,25,1325
2020-10-14,25,25,1539
2020-10-15,33,25,2151
2020-10-16,40,25,2373
2020-10-17,35,25,2208
2020-10-18,23,25,2551
2020-10-19,66,25,2029
2020-10-20,44,25,2304
2020-10-21,57,25,2306
2020-10-22,59,25,2055
2020-10-23,33,25,2023
2020-10-24,78,25,2634
2020-10-25,60,25,2405
2020-10-26,54,25,2162
2020-10-27,57,25,3304
2020-10-28,67,25,2201
2020-10-29,82,25,2604
2020-10-30,76,25,1319
2020-10-31,78,25,2475
2020-11-01,73,25,0
2020-11-02,63,25,2157
2020-11-03,80,25,1759
2020-11-04,36,25,988
2020-11-05,124,25,2178
2020-11-06,84,25,2036
2020-11-07,115,27,2656
2020-11-08,156,28,2735
2020-11-09,184,29,2232
2020-11-10,126,29,1708
2020-11-11,110,29,1319
2020-11-12,106,29,1885
2020-11-13,81,29,1557
2020-11-14,298,29,3351
2020-11-15,171,31,0
2020-11-16,176,31,2931
2020-11-17,227,31,2635
2020-11-18,124,32,1514
2020-11-19,94,32,1873
2020-11-20,149,33,2665
2020-11-21,430,33,4240
2020-11-22,234,33,3184
2020-11-23,232,37,2723
2020-11-24,171,37,2999
2020-11-25,162,37,2693
2020-11-26,291,40,3283
2020-11-27,324,44,3356
2020-11-28,195,45,3294
2020-11-29,347,45,3672
2020-11-30,323,47,4043
2020-12-01,175,51,0
2020-12-02,231,53,2307
2020-12-03,258,54,3055
2020-12-04,265,55,3369
2020-12-05,197,55,3310
2020-12-06,412,59,3714
2020-12-07,271,60,2850
2020-12-08,180,66,2238
2020-12-09,300,71,2474
2020-12-10,320,75,3326
2020-12-11,246,75,3312
2020-12-12,272,86,3430
2020-12-13,220,89,2828
2020-12-14,262,91,2915
2020-12-15,191,98,2279
2020-12-16,158,98,2071
2020-12-17,229,105,2645
2020-12-18,235,107,2926
2020-12-19,249,115,3116
2020-12-20,222,118,2785
2020-12-21,203,122,2203
2020-12-22,181,125,1990
2020-12-23,155,130,2320
2020-12-24,145,134,2227
2020-12-25,0,134,0
2020-12-26,0,134,0
2020-12-27,472,140,4775
2020-12-28,0,139,0
2020-12-29,199,149,2214
2020-12-30,139,152,1330
2020-12-31,179,153,1936
2021-01-01,0,153,0
2021-01-02,474,156,4932
2021-01-03,228,156,1890
2021-01-04,270,158,1332
2021-01-05,139,163,1635
2021-01-06,235,172,1832
2021-01-07,307,175,2285
2021-01-08,319,182,2592
2021-01-09,313,189,2829
2021-01-10,297,189,0
2021-01-11,383,197,5486
2021-01-12,217,201,1723
2021-01-13,234,203,2344
2021-01-14,306,203,3028
2021-01-15,372,207,3168
2021-01-16,263,209,2692
2021-01-17,279,212,2262
2021-01-18,269,216,2556
2021-01-19,284,222,2508
2021-01-20,232,226,2283
2021-01-21,223,239,2487
2021-01-22,300,247,2875
2021-01-23,264,250,2961
2021-01-24,258,253,2480
2021-01-25,237,254,1955
2021-01-26,221,268,1811
2021-01-27,145,274,1785
2021-01-28,244,285,2356
2021-01-29,320,292,2759
2021-01-30,249,300,2691
2021-01-31,226,304,2201
2021-02-01,145,306,1613
2021-02-02,210,314,1656
2021-02-03,188,322,2261
2021-02-04,245,329,2091
2021-02-05,262,332,2772
2021-02-06,248,336,2667
2021-02-07,193,339,2164
2021-02-08,168,341,2132
2021-02-09,79,346,1609
2021-02-10,176,348,1942
2021-02-11,114,348,1890
2021-02-12,190,350,2176
2021-02-13,242,354,2631
2021-02-14,157,354,2119
2021-02-15,142,354,0
2021-02-16,133,357,3294
2021-02-17,117,362,1337
2021-02-18,145,362,1754
2021-02-19,146,365,2187
2021-02-20,189,368,2539
2021-02-21,174,372,1981
2021-02-22,169,372,1841
2021-02-23,118,376,1542
2021-02-24,54,379,1636
2021-02-25,204,380,2614
2021-02-26,149,380,2601
2021-02-27,158,385,2204
2021-02-28,140,385,1958
2021-03-01,149,385,1476
2021-03-02,133,387,1683
2021-03-03,119,389,1708
2021-03-04,163,391,2327
2021-03-05,197,393,0
2021-03-06,161,396,2232
2021-03-07,116,398,1874
2021-03-08,95,399,1390
2021-03-09,105,400,1292
2021-03-10,101,401,1680
2021-03-11,165,401,2057
2021-03-12,170,404,2344
2021-03-13,146,405,2305
2021-03-14,97,407,1493
2021-03-15,109,407,1722
2021-03-16,150,409,1788
2021-03-17,83,410,1955
2021-03-18,112,411,2204
2021-03-19,169,414,2830
2021-03-20,200,417,2887
2021-03-21,176,418,2316
2021-03-22,201,418,2504
2021-03-23,149,419,2364
2021-03-24,183,420,-9220
2021-03-25,163,422,2731
2021-03-26,205,430,3765
2021-03-27,224,430,3285
2021-03-28,247,433,3319
2021-03-29,198,433,2749
2021-03-30,161,434,2641
2021-03-31,186,436,2361
2021-04-01,199,436,3007
2021-04-02,247,437,4105
2021-04-03,278,436,2909
2021-04-04,220,439,3171
2021-04-05,217,440,3013
2021-04-06,216,443,2541
2021-04-07,186,445,2544
2021-04-08,204,447,2593
2021-04-09,326,453,3190
2021-04-10,221,453,3000
2021-04-11,313,454,3239
2021-04-12,288,455,2780
